Ref,Val,Package,PosX,PosY,Rot,Side
"C1","4.7uF","C_0402_1005Metric",6.120000,-11.770000,0.000000,top
"C2","4.7uF","C_0402_1005Metric",1.164000,-12.300000,180.000000,top
"C3","4.7uF","C_0402_1005Metric",5.170000,-19.020000,180.000000,top
"C4","4.7uF","C_0402_1005Metric",1.920000,-5.150000,180.000000,top
"C5","0.1uF","C_0402_1005Metric",1.450000,-3.680000,90.000000,top
"C6","1uF","C_0402_1005Metric",4.110000,-8.430000,270.000000,top
"C8","22pF","C_0402_1005Metric",1.940000,-1.640000,270.000000,top
"C9","22pF","C_0402_1005Metric",7.550000,-2.080000,0.000000,top
"R1","10K","R_0402_1005Metric",10.820000,-24.090000,270.000000,top
"R2","10K","R_0402_1005Metric",1.140000,-14.370000,180.000000,top
"R3","10R","R_0402_1005Metric",2.620000,-14.860000,90.000000,top
"R4","10K","R_0402_1005Metric",14.150000,-23.390000,180.000000,top
"R5","3.3K","R_0402_1005Metric",11.120000,-7.530000,270.000000,top
"R6","3.3K","R_0402_1005Metric",11.615000,-8.550000,90.000000,top
"R7","10K","R_0402_1005Metric",1.990000,-7.160000,0.000000,top
"U1","ME6211C33M5G-N","SOT-23-5",3.664000,-12.300000,90.000000,top
"U2","STM32F042F6P6","STM32F042F6P6",9.630000,-19.990000,180.000000,top
"U3","74LVC2G07","SOT-23-6",2.380000,-17.400000,0.000000,top
"U4","BNO055","IMU-BNO055",5.550000,-5.550000,90.000000,top
"Y1","Crystal_32.768K","Crystal_SMD_3215-2Pin_3.2x1.5mm",4.975000,-1.850000,90.000000,top
