Designator,Mid X,Mid Y,Layer,Rotation
C1,6.1200mm,-11.7700mm,Top,270
C2,1.1640mm,-12.3000mm,Top,90
C3,5.1700mm,-19.0200mm,Top,90
C4,1.9200mm,-5.1500mm,Top,90
C5,1.4500mm,-3.6800mm,Top,0
C6,4.1100mm,-8.4300mm,Top,180
C8,1.9400mm,-1.6400mm,Top,180
C9,7.5500mm,-2.0800mm,Top,270
R1,10.8200mm,-24.0900mm,Top,180
R2,1.1400mm,-14.3700mm,Top,90
R3,2.6200mm,-14.8600mm,Top,0
R4,14.1500mm,-23.3900mm,Top,90
R5,11.1200mm,-7.5300mm,Top,180
R6,11.6150mm,-8.5500mm,Top,0
R7,1.9900mm,-7.1600mm,Top,270
U1,3.6640mm,-12.3000mm,Top,0
U2,9.6300mm,-19.9900mm,Top,90
U3,2.3800mm,-17.4000mm,Top,270
U4,5.5500mm,-5.5500mm,Top,0
Y1,4.9750mm,-1.8500mm,Top,0
